"","player_name","player_api_id","overall_rating","gk_rating","numofappearences","numofleagues"
"200","Adrien Trebel",242719,74,61,51,2
"201","Adryan",263276,71,25,21,2
"202","Afonso Alves,24",35608,78,128,17,1
"203","Afonso",361711,74,52,44,1
"204","Afriyie Acquah",213366,73,39,80,1
"205","Ager Aketxe",441441,73,64,5,1
"206","Agim Ibraimi",118883,74,15,8,1
"207","Agon Mehmeti",119305,64,47,10,2
"208","Agustin Vuletich",256728,65,56,2,1
"209","Ahmed Ammi",45872,63,51,72,1
"210","Ahmed Apimah Barusso",41399,63,32,1,1
"211","Ahmed El Messaoudi",513810,64,45,28,1
"212","Ahmed El Mohamady",111930,74,47,109,1
"213","Ahmed Hamoudi",561140,66,54,4,1
"214","Ahmed Hassan Koka",403003,76,62,52,1
"215","Ahmed Hegazy",297556,65,51,1,1
"216","Ahmed Kantari",41182,69,47,101,1
"217","Ahmed Kashi",120917,70,56,15,1
"218","Ahmed Musa",232103,76,61,31,1
"219","Ahmed Saied Okka",174597,65,55,23,1
"220","Ahmed Samir Farag",174600,63,53,7,1
"221","Ahmed Soukouna",148953,53,45,1,1
"222","Ahmet Ozcan",441166,50,53,1,1
"223","Aidan Connolly",410141,61,63,8,1
"224","Aidan Nesbitt",582500,53,56,4,1
"225","Aiden Chippendale",199829,56,50,1,1
"226","Aiden McGeady",32448,76,50,70,2
"227","Aimo Stefano Diana",34319,59,59,52,2
"228","Airam Cabrera",213737,63,48,8,1
"229","Airton",133535,71,57,10,1
"230","Aislan",128843,65,48,17,1
"231","Aissa Laidouni",715642,59,61,1,1
"232","Aissa Mandi",210683,77,64,124,1
"233","Aitor Nunez",185301,61,54,4,1
"234","Aitor Ocio",33993,69,44,34,1
"235","Aiyegbeni Yakubu",24160,69,47,31,1
"236","Akaki Gogia",243127,68,58,4,1
"237","Akihiro Ienaga",20771,67,57,4,1
"238","Akoete Eninful",244128,59,56,3,1
"239","Akos Buzsaky",23163,71,45,10,1
"240","Akpo Sodje",31255,59,52,11,1
"241","Akwetey Mensah",127255,60,54,10,1
"242","Alaeddine Yahia",33451,70,69,107,1
"243","Alain Cantareil",26085,62,56,7,1
"244","Alain Nef",34268,64,55,167,2
"245","Alain Pierre Mendy",182847,58,57,2,1
"246","Alain Rochat",36785,70,48,104,1
"247","Alain Schultz",67393,64,47,36,1
"248","Alain Traore",34417,70,62,71,1
"249","Alain Wiss",95220,63,63,139,1
"250","Alan Combe",32693,58,290,37,1
"251","Alan Gow",32547,63,46,11,1
"252","Alan Haydock",37085,64,148,11,1
"253","Alan Henrique",267728,70,54,5,1
"254","Alan Hutton",32870,73,59,135,2
"255","Alan Kardec",92935,76,54,7,1
"256","Alan Mannus",14100,68,341,156,1
"257","Alan Martin",32845,60,311,1,1
"258","Alan Maybury",23081,58,54,76,1
"259","Alan O'Brien",24024,59,45,14,1
"260","Alan Schons",667963,66,45,5,1
"261","Alan Smith",30248,63,60,11,1
"262","Alan Tate",23881,65,56,8,2
"263","Alan Uryga",312585,61,60,56,1
"264","Alan",25926,74,62,156,1
"265","Alassane Diallo",441173,61,57,1,1
"266","Alassane Plea",294859,75,69,31,1
"267","Alassane Tambe",289250,66,55,30,2
"268","Alassane Toure",160220,67,63,21,1
"269","Alban Joinel",121488,58,296,1,1
"270","Alban Lafont",698273,70,355,24,1
"271","Alban Meha",94883,74,61,13,1
"272","Alban Pnishi",177689,63,58,21,1
"273","Albano Benjamin Bizzarri",37503,75,374,108,1
"274","Albert Baning",41173,64,132,8,1
"275","Albert Bunjaku",35831,67,59,66,2
"276","Albert Crusat",45605,71,45,83,2
"277","Albert Meyong Ze",37483,72,40,43,1
"278","Albert Rafetraniaina",396912,62,66,13,1
"279","Albert Riera",37920,74,37,33,1
"280","Albert Rusnak",484858,73,53,54,1
"281","Albert Streit",36066,70,50,4,1
"282","Alberto Aquilani",27694,77,56,134,3
"283","Alberto Botia",107929,74,57,133,1
"284","Alberto Brignoli",299879,68,333,1,1
"285","Alberto Bueno",41168,76,51,84,2
"286","Alberto Cifuentes",38395,60,302,15,1
"287","Alberto De la Bella",47565,77,52,136,1
"288","Alberto Fontana",39425,77,384,4,1
"289","Alberto Frison,18",30143,70,340,18,1
"290","Alberto Garcia",102394,67,335,6,1
"291","Alberto Gilardino",30881,74,43,162,1
"292","Alberto Giuliatto",42460,59,41,25,1
"293","Alberto Grassi",575364,70,49,15,1
"294","Alberto Guitian",543020,68,58,1,1
"295","Alberto Lopo",37451,72,56,169,1
"296","Alberto Luque,21",32763,72,46,16,1
"297","Alberto Maria Fontana",39743,66,321,12,1
"298","Alberto Moreno",314605,77,54,93,2
"299","Alberto Paloschi",109121,77,58,109,2
"300","Alberto Pelagotti",39302,67,334,6,1
"301","Alberto Perea",231977,66,37,6,1
"302","Alberto Pomini",74028,65,320,6,1
"303","Alberto Regazzoni",42121,62,50,57,1
"304","Alberto Rey",2790,67,55,50,1
"305","Alberto Rivera",30273,73,49,97,1
"306","Alberto Rodriguez",88521,72,59,82,1
"307","Alberto Zapater",38576,72,55,35,2
"308","Albian Ajeti",527104,64,56,2,1
"309","Albin Ebondo",26401,73,56,96,1
"310","Albin Ekdal",71768,75,25,154,2
"311","Albion Avdijaj",493418,54,46,11,1
"312","Aldair",281864,69,51,13,1
"313","Aldin Turkes",661509,54,56,1,1
"314","Aldo Angoula",93343,65,55,73,1
"315","Aldo Kalulu",664961,66,46,1,1
"316","Aldo Pedro Duscher",33759,74,48,46,1
"317","Aleandro Rosi",39345,70,47,120,1
"318","Alec Luyckx",467052,57,43,2,1
"319","Alef",450292,68,48,1,1
"320","Aleix Vidal",189192,79,47,63,1
"321","Alejandro Alfaro",38131,71,47,68,1
"322","Alejandro Alonso",26120,71,56,61,1
"323","Alejandro Arribas",191906,75,59,143,1
"324","Alejandro Bedoya",169217,75,47,70,2
"325","Alejandro Bergantinos",151079,74,55,93,1
"326","Alejandro Daro Gomez",45220,78,46,117,1
"327","Alejandro Dominguez",10348,77,57,33,1
"328","Alejandro Faurlin",97657,74,54,34,2
"329","Alejandro Galvez",303484,73,46,94,2
"330","Alejandro Gonzalez",168569,71,45,22,1
"331","Alejandro Grimaldo Garcia",288406,70,50,2,1
"332","Alejandro Martinuccio",187150,70,50,4,1
"333","Alejandro Pozuelo",282470,72,50,36,3
"334","Aleksandar Bjelica",302911,65,60,11,2
"335","Aleksandar Cavric",364496,67,57,5,1
"336","Aleksandar Damcevski",522571,64,50,8,1
"337","Aleksandar Ignjovski",167094,73,46,73,1
"338","Aleksandar Kolarov",16351,78,61,157,2
"339","Aleksandar Kovacevic",426005,63,57,12,1
"340","Aleksandar Lukovic",37515,72,37,53,1
"341","Aleksandar Miljkovic",155739,66,47,7,1
"342","Aleksandar Mitreski",34067,65,126,17,1
"343","Aleksandar Mitrovic",351860,76,53,30,2
"344","Aleksandar Pantic",280638,73,52,51,1
"345","Aleksandar Pesic",164519,72,60,17,1
"346","Aleksandar Prijovic",124144,71,52,28,2
"347","Aleksandar Rankovic",26680,65,65,12,1
"348","Aleksandar Stevanovic",278866,63,50,2,1
"349","Aleksandar Todorovski",69018,65,62,64,1
"350","Aleksandar Tonev",156534,67,51,59,4
"351","Aleksandar Trajkovski",208852,67,60,44,2
"352","Aleksandar Vasoski",27476,72,62,13,1
"353","Aleksander Jagiello",306158,61,45,9,1
"354","Aleksander Kwiek",68839,62,58,135,1
"355","Aleksander Radosavljevic",3441,65,62,74,1
"356","Aleksander Seliga",22822,67,338,32,1
"357","Aleksandr Hleb",26169,73,45,45,3
"358","Aleksandrs Fertovs",89828,61,50,26,1
"359","Aleksei Kangaskolkka",31191,61,49,1,1
"360","Alen Halilovic",395154,77,60,24,1
"361","Alen Melunovic",173913,57,53,7,1
"362","Alen Stevanovic",191081,69,32,8,1
"363","Alesandro Cordaro",39145,69,53,127,1
"364","Alessandro Agostini",39763,65,54,182,1
"365","Alessandro Bernardini",39470,69,47,14,1
"366","Alessandro Budel",39762,67,51,4,1
"367","Alessandro Carrozza",74452,67,54,3,1
"368","Alessandro Cerigioni",197848,65,54,5,1
"369","Alessandro Ciarrocchi",41424,60,45,26,1
"370","Alessandro Crescenzi",154238,65,50,9,1
"371","Alessandro Damen",561819,64,321,11,1
"372","Alessandro Del Piero",30727,70,42,49,1
"373","Alessandro Diamanti",41475,75,56,135,2
"374","Alessandro Florenzi",264842,79,48,99,1
"375","Alessandro Frara",42443,67,53,14,1
"376","Alessandro Gamberini",24504,77,62,179,1
"377","Alessandro Gazzi",41816,74,48,159,1
